titulo,autor,origen
fisiología del deporte,"bowers, richard w",consulta_koha
manual de obras sanitarias,"casale, dante i",consulta_koha
manual de auditoría técnica de la atención médica,"aracama zorraquín, v.a",consulta_koha
aprendiendo delphi 2 en 21 días,"osier, dan",consulta_koha
señales y sistemas,"oppenheim, alan v",consulta_koha
manual de ingeniería de hospitales,"hernandez fragoso, carlos",consulta_koha
medical climatology,"licht, sidney",consulta_koha
proceedings,"shaw, rodney",consulta_koha
digesto de leyes nacionales y provinciales de la república argentina sobre vihsida,"vazquez acuña, martín e",consulta_koha
instalaciones eléctricas,"seip, günter g",consulta_koha
manual de baja tensión,"schmelcher, theodor",consulta_koha
manual de luminotecnia,"taboada, j.a",consulta_koha
instalaciones en los edificios,"gay, charles merrick",consulta_koha
manual de cálculo de,"quadri, néstor pedro",consulta_koha
instalaciones  eléctricas y su mantenimiento,"calloni, juan carlos",consulta_koha
terapeútica por el ejercicio,"basmajian, john v",consulta_koha
iluminación natural,"savioli, carlos u",consulta_koha
circuitos eléctricos,"cornejo, juan manuel",consulta_koha
fundamentos de ingeniería eléctrica,"fitzgerald, a. e",consulta_koha
circuitos en ingeniería eléctrica,"skilling, hugh hildreth",consulta_koha
dynamics of physical systems,"cannon, robert h",consulta_koha
sistemas realimentados de control,"d'azzo, john j",consulta_koha
procesamiento digital de señales,"aljama corrales, tomás",consulta_koha
an introduction to the theory of random signals and noise,"davenport, wilbur b",consulta_koha
theory and application of digital signal processing,"rabiner, lawrence r",consulta_koha
kalman filteringtheory and application,"sorenson, harold w",consulta_koha
biomedical signal processing,"cohen, arnon",consulta_koha
introduction to digital signal processing,"kuc, roman",consulta_koha
theory and design of linear active networks,"natajaran, sundaram",consulta_koha
adaptive signal processing,"sibul, leon h",consulta_koha
analog and digital filtersdesign and realization,"lam, harry f-y",consulta_koha
digital signal processing in vlsi,"higgins, richard j",consulta_koha
digital signal processing laboratory using the adsp-2101 microcomputer,"ingle, vinay k",consulta_koha
digital signal processing applications using the adsp-2100 family,"mar, david",consulta_koha
termodinámica técnica,"garcía, carlos a",consulta_koha
electrónica analógica,"cuesta garcía, luis miguel",consulta_koha
farmacocinética clínica,"wagner, john g",consulta_koha
electrónica digital integrada,"taub, herbert",consulta_koha
circuitos digitales y microprocesadores,"taub, herbert",consulta_koha
sistemas electrónicos digitales,"mandado, enrique",consulta_koha
sistemas y circuitos,"papoulis, athanasios",consulta_koha
planificación y producción de materiales audiovisuales,"kemp, jerrold e",consulta_koha
la tecnica del receptor de televisión,"algarra, héctor o",consulta_koha
color television,"rzeszewski, ted",consulta_koha
conductores de fibras ópticas,"mahlke, günther",consulta_koha
instrumentación industrial,"creus solé, antonio",consulta_koha
electrónica con experimentos,"glas, e.t",consulta_koha
instrumentación electrónica,"mandado pérez, enrique",consulta_koha
instrumentación electrónica moderna y técnicas de medición,"helfrick, albert d",consulta_koha
lin 1,"gabner, e",consulta_koha
lin 2,"gabner, e",consulta_koha
interferencias electromagnéticas en sistemas electrónicos,"balcells, josep",consulta_koha
electrónica del estado sólido,"tremosa, angel d",consulta_koha
introduction to semiconductor physics,"adler, r.b",consulta_koha
"electrónica fundamentaldispositivos, circuitos y sistemas","cirovic, michael m",consulta_koha
principios de electrónica,"malvino, albert paul",consulta_koha
electrónica integrada,"millman, jacob",consulta_koha
"transformaciones del sector salud en la argentina estructura, proceso y tendencias de la reforma del sector entre 1990 y 1997","[guerrero espinel], [eduardo]",consulta_koha
calor y principios de la termodinámica,"greco, francisco i",consulta_koha
the siemens company,"weiher, sigfrid von",consulta_koha
fisiología de la sangre,"murro, héctor",consulta_koha
fisiología del sistema nervioso,"pazo, jorge h",consulta_koha
presión arterial,"lópez, eduardo daniel",consulta_koha
bases de inmunología,"nota, nora ruth",consulta_koha
diagnóstico histológico,"di fiore, mariano s.h",consulta_koha
manual de química fisiológica,"harper, harold a",consulta_koha
tratado de microbiología,"davis, bernard d",consulta_koha
histología,"weiss, leon",consulta_koha
resistencia de materiales,"ortiz berrocal, luis",consulta_koha
materiales y procesos de manufactura para ingenieros,"doyle, lawrence e",consulta_koha
ensayo de los materiales,"helfgot, aarón",consulta_koha
estabilidad,"fliess, enrique d",consulta_koha
teoría y problemas de mecánica técnica,"mclean, w.g",consulta_koha
introducción a la estática y resistencia de materiales,"raffo, césar m",consulta_koha
materiales y procesos de fabricación,"moore, harry d",consulta_koha
laboratorio de ensayos industriales,"gonzalez arias, antonio",consulta_koha
mecánica de materiales,"beer, ferdinand p",consulta_koha
diseño en ingeniería mecánica,"shigley, joseph edward",consulta_koha
diseño de estructuras resistentes a sismos,"rosenblueth, emilio",consulta_koha
diseño de vigas de concreto presforzado,"branson, dan e",consulta_koha
mécanica de sólidos,"lardner, t.j",consulta_koha
curso de mecánica técnica y mecanismos,"facorro ruiz, lorenzo a",consulta_koha
teoría de máquinas y mecanismos,"shigley, joseph edward",consulta_koha
el auxiliar del conductor de obras,"vazquez cabanillas, carlos e",consulta_koha
diseño de elementos de máquinas,"faires, virgil moring",consulta_koha
tecnología mecanica,"pezzano, pascual a",consulta_koha
teoría de placas planas y curvas,"timoshenko, stephen",consulta_koha
"materiales, máquinas herramientas y procesos de ingeniería","steeds, w",consulta_koha
mechanism,"faires, virgil moring",consulta_koha
composite construction methods,"cook, john p",consulta_koha
transmisiones,"pezzano, pascual a",consulta_koha
engranajes y poleas,"pezzano, pascual a",consulta_koha
biela-manivela,"pezzano, pascual a",consulta_koha
construcción de los motores térmicos,"pezzano, pascual a",consulta_koha
alrededor de las máquinas-herramientas,"gerling, heinrich",consulta_koha
mecanismos,"silva, ernesto a",consulta_koha
máquinas,"casillas, a.l",consulta_koha
curso de análise estructural,"süssekind, josé carlos",consulta_koha
curso de análise estrutural,"süssekind, josé carlos",consulta_koha
planificación y análisis de la calidad,"juran, j.m",consulta_koha
manual de control de la calidad,"juran, j.m",consulta_koha
"preparación técnica, evaluación económica y presentación de proyectos","munier, nolberto j",consulta_koha
información y cambio en la empresa,"lesca, humbert",consulta_koha
cim,"baumgarther, horst",consulta_koha
la innovación y el empresariado innovador,"drucker, peter f",consulta_koha
la organización permanentemente exitosa,"crosby, philip b",consulta_koha
la gerencia,"drucker, peter f",consulta_koha
marketing estratégico,"wilensky, alberto l",consulta_koha
organization theory,"osborn, richard n",consulta_koha
la apropiación del saber,"cavallari, juan josé",consulta_koha
la tecnología aplicada a la educación,"decaigny, t",consulta_koha
"planificación, organización y gestión de proyectos","drudis, antonio",consulta_koha
las pymes,"todesca, jorge a",consulta_koha
ingeniería económica,"blank, leland t",consulta_koha
análisis económico de los impuestos y del sector público,"due, john f",consulta_koha
comunicaçao fabril e o projeto maptop,"jesus mendes, manuel",consulta_koha
control de procesos industriales,"creus solé, antonio",consulta_koha
simulación de procesos con pc,"creus solé, antonio",consulta_koha
nuevas técnicas de gestión de stocks mrp y jit,"companys pascual, ramón",consulta_koha
managementla tecnología punta del mando,"palom izquierdo, francisco javier",consulta_koha
redes locales en la industria,"carracedo gallardo, justo",consulta_koha
pedagogía y didáctica de la enseñanza universitaria,"beard, ruth",consulta_koha
practical nuclear medicine,"ashkar, fuad s",consulta_koha
radioisotopes,"billington, d",consulta_koha
introducción a la química inorgánica,"valenzuela calahorro, cristóbal",consulta_koha
residuos radiactivos,"funes, amílcar",consulta_koha
spect,"levi de cabrejas, mariana",consulta_koha
radiation protection,"shapiro, jacob",consulta_koha
tratamiento digital de la señal,"mariño acebal, josé b",consulta_koha
análisis dinámico de sistemas mecánicos,"chiang s., luciano",consulta_koha
problemas resueltos de mecánica clásica,"benguria d., rafael",consulta_koha
ergonomía 1,"mondelo, pedro",consulta_koha
proceedings,"chu, florence c.h",consulta_koha
radioisótopos en diagnóstico médico,"lombardi, max h",consulta_koha
la verdad sobre la droga,"nowlis, helen",consulta_koha
aprendiendo borland c++builder 3,"reisdorph, kent",consulta_koha
planificación y programación de la producción,"companys pascual, ramón",consulta_koha
la quinta disciplina,"senge, peter m",consulta_koha
cómo mejorar la productividad en el taller,"castanyer figueras, francesc",consulta_koha
la fábrica flexible,"ferré masip, rafael",consulta_koha
la formación permanente en la empresa,"castanyer figueras, francesc",consulta_koha
planificación y rentabilidad de proyectos industriales,"companys pascual, ramón",consulta_koha
la innovación tecnológica y su gestión,"ruiz gonzález, manuel",consulta_koha
optimización industrial (i) distribución de los recursos,"arbones malisani, eduardo a",consulta_koha
fundamentos de dibujo en ingeniería,"luzadder, warren j",consulta_koha
metodología de estudio,"bon, stella maría",consulta_koha
didáctica del estudio y las técnicas de trabajo intelectual,"pallarés molíns, enrique",consulta_koha
estudio dirigido,"perez taboada de tappata, nilda",consulta_koha
del estudio dirigido al estudio autónomo,"perez alvarez, sergio",consulta_koha
"democracia, estado y desigualdad","lozano, claudio",consulta_koha
sistema de proyectos de extensión,"menéndez, gustavo",consulta_koha
la globalización y las deudas externas,"allende, alfredo",consulta_koha
guía práctica para la investigación y redacción de informes,"acosta hoyos, luis eduardo",consulta_koha
teorías contemporáneas del aprendizaje,"vázquez, stella maris",consulta_koha
educación y comunicación,"caropresi, ramon felix",consulta_koha
educados para competir,"ferraro, ricardo a",consulta_koha
comunicación y educación,"quiróz, maría teresa",consulta_koha
hacia una pedagogía crítica de la formación de la identidad posmoderna,"mclaren, peter",consulta_koha
una pedagogía de la renuncia,"kaufmann, carolina",consulta_koha
informática y educación,"hawkridge, david",consulta_koha
profesores y alumnos,"caputto de loughlin, lidia n",consulta_koha
alteraciones del aprendizaje escolar,"azcoaga, juan e",consulta_koha
docente y programa lo institucional y lo didáctico,"díaz barriga, ángel",consulta_koha
fess endoscopic diagnosis and surgery of the paranasal sinuses and anterior skull base,"stammberger, heinz",consulta_koha
tecnología industrial i 1º bachillerato,"silva rodríguez, francisco",consulta_koha
metodología de la evaluación de programasun enfoque práctico,"alvira martín, francisco",consulta_koha
modo de ser alberdino,"varela, josé valentín",consulta_koha
seminario sobre educación y lenguaje en áreas de fronteras,"behares, luis ernesto",consulta_koha
repique de campanas,"llórens de ravazzoli, martha e",consulta_koha
modelos de planeamiento educacional,"almuiñas, josé l",consulta_koha
curriculum y programación educacional,"galli, amanda",consulta_koha
estrategias de enseñanza,"castro, claudia",consulta_koha
exámenes orales y escritos,"galli, amanda",consulta_koha
evaluación educacional,"ferrante, adela",consulta_koha
"observación sistemática, encuestas y entrevistas","galli, amanda",consulta_koha
el proceso de enseñanza y aprendizaje,"kancepolski, jorge",consulta_koha
universidad y salud integración docente-asistencial,"galli, amanda",consulta_koha
calidad y cooperación internacional en la educación superior de américa latina y el caribe,"pallán figueroa, carlos",consulta_koha
educación superior con miras al siglo xxi,"tellería-geiger, josé l",consulta_koha
introducción a la biomecánica,"hainaut, karl",consulta_koha
ingeniería económica,"thuesen, h.g",consulta_koha
la telemedicina,"ferrer-roca, olga",consulta_koha
química orgánica,"nechamkin, howard",consulta_koha
teaching engineering science mathematics,"skilling, hugh hildreth",consulta_koha
overcoming constraints on the teaching of biology,"meyer, g. rex",consulta_koha
universidad y pueblo,"cirigliano, gustavo f.j",consulta_koha
curriculum universitario siglo xxi,"torres, carlos",consulta_koha
gestión universitaria,"ortiz castillo, félix",consulta_koha
diagnóstico sobre demanda futura de ingenieros,"fuchs, mariana",consulta_koha
cálculo,"larson, ronald e",consulta_koha
práctica de la traducción especializada,"garnier, carolina andrea",consulta_koha
fundamentos de manufactura moderna,"groover, mikell p",consulta_koha
manual de terapeútica,"gonzález agudelo, marco antonio",consulta_koha
sistemas de control automático,"kuo, benjamin c",consulta_koha
diseño digital,"wakerly, john f",consulta_koha
sensores y acondicionadores de señal,"pallás areny, ramón",consulta_koha
mathematical modeling,"meerschaert, mark m",consulta_koha
renal physiology,"vander, arthur j",consulta_koha
process control systems,"shinskey, f. greg",consulta_koha
continuos and discrete signals and systems,"soliman, samir s",consulta_koha
a wavelet tour of signal processing,"mallat, stéphane",consulta_koha
the circuits and filters handbook,"chen, wai-kai",consulta_koha
análisis vectorial,"spiegel, murray r",consulta_koha
textbook of medical physiology,"guyton, arthur c",consulta_koha
principles of nuclear medicine,"wagner, henry n",consulta_koha
human physiology and mechanisms of disease,"guyton, arthur c",consulta_koha
la inteligencia emocional en la empresa,"goleman, daniel",consulta_koha
elementos de derecho civil,"cifuentes, santos",consulta_koha
telemedicina,"ferrer-roca, olga",consulta_koha
programación y diseño en c++,"cohoon, james p",consulta_koha
introduction to biomedical equipment technology,"carr, joseph j",consulta_koha
human body dynamics,"tözeren, aydin",consulta_koha
administración hospitalaria,"malagón-londoño, gustavo",consulta_koha
fetal and neonatal physiology,"polin, richard a",consulta_koha
wavelets and filter banks,"strang, gilbert",consulta_koha
transmisión del calor,"bados, josé maría",consulta_koha
"las mediciones, sus errores  y la estadística","galloni, horacio a",consulta_koha
la fórmula para crecer en el vértigo competitivo,"biasca, rodolfo e",consulta_koha
la autonomía universitaria en jaque,"godoy, juan adolfo",consulta_koha
geopolítica e integración,"villarruel, josé",consulta_koha
self-organizing maps,"kohonen, teuvo",consulta_koha
bioelectric and biomagnetic fields,"titomir, leonid i",consulta_koha
geometría descriptiva,"di pietro, donato",consulta_koha
modern electronic intrumentation and measurement techniques,"helfrick, albert d",consulta_koha
introducción a la física de los semiconductores,"adler, r.b",consulta_koha
mecl system design handbook,"blood, william r",consulta_koha
diseño básico de estructuras de acero,"johnston, bruce g",consulta_koha
motorola digital signal processors,"stokes, jay",consulta_koha
histologíasobre bases biomoleculares,"geneser, finn",consulta_koha
guía para mediciones electrónicas y prácticas de laboratorio,"wolf, stanley",consulta_koha
introducción a la ingeniería y al diseño en la ingeniería,"krick, edward v",consulta_koha
introducción a la ingeniería y al diseño en la ingeniería,"krick, edward v",consulta_koha
nonlinear systems,"drazin, p.g",consulta_koha
infecciones hospitalarias,"malagón-londoño, gustavo",consulta_koha
materiales dentales,"macchi, ricardo luis",consulta_koha
ejercicios de tratamiento de la señal,"burrus, c. sidney",consulta_koha
goodman & gilman las bases farmacológicas de la terapéutica,"hardman, joel g",consulta_koha
matemáticas avanzadas para ingeniería,"kreyszig, erwin",consulta_koha
fundamentos de robótica,"barrientos, antonio",consulta_koha
histología,"leeson, thomas s",consulta_koha
optics and vision,"pedrotti, leno s",consulta_koha
química orgánica,"graham solomons, t. w",consulta_koha
física para la ciencia y la tecnología,"tipler, paul a",consulta_koha
física,"tipler, paul a",consulta_koha
física,"hecht, eugene",consulta_koha
matemáticas avanzadas para ingeniería y ciencias,"spiegel, murray r",consulta_koha
microcontroladores pic diseño práctico de aplicaciones,"angulo usategui, josé maría",consulta_koha
microcontroladores pic,"cuenca, eugenio martín",consulta_koha
introducción a la mecánica de fluídos,"fernández larrañaga, bonifacio",consulta_koha
problemas de circuitos y sistemas digitales,"baena oliva, carmen",consulta_koha
probabilidad y estadística aplicadas a la ingeniería,"montgomery, douglas c",consulta_koha
electrónica digital y microprogramable,"gil padilla, antonio j",consulta_koha
autocad 2000 avanzado,"lópez fernández, javier",consulta_koha
electrónica analógica,"olvera peralta, santiago",consulta_koha
prácticas de electrónica,"zbar, paul b",consulta_koha
programación en c++,"joyanes aguilar, luis",consulta_koha
microprocesadores y microcontroladores aplicados a la industria,"torres portero, manuel",consulta_koha
microcontroladores pic,"tavernier, christian",consulta_koha
la química orgánica a través de ejercicios y problemas,"geissman, t.a",consulta_koha
física moderna,"gautreau, ronald",consulta_koha
algebra lineal con aplicaciones,"nakos, george",consulta_koha
curso de química cou,"alonso garcía, pablo",consulta_koha
redes de comunicación,"león-garcía, alberto",consulta_koha
diseño y análisis de experimentos,"montgomery, douglas c",consulta_koha
introducción a las señales y los sistemas,"lindner, douglas k",consulta_koha
introducción a señales y sistemas,"kamen, edward w",consulta_koha
análisis de señales,"irarrázaval, pablo",consulta_koha
c++ para ingeniería y ciencias,"bronson, gary j",consulta_koha
borland c++ builder,"leblanc, gérard",consulta_koha
ecuaciones diferenciales,"borrelli, robert l",consulta_koha
introducción a la programación y a las estructuras de datos,"braunstein, silvia l",consulta_koha
organización base cero,"palom izquierdo, francisco javier",consulta_koha
un nuevo elemento para la gestión empresarial,"vazquez, roberto",consulta_koha
instalaciones sanitarias y contra incendios en edificios,"diaz dorado, m.d",consulta_koha
estructuras de datos,"cairó, osvaldo",consulta_koha
a first course in discrete mathematics,"anderson, ian",consulta_koha
mathematical foundations of elasticity,"marsden, jerrold e",consulta_koha
introduction to partial differential equations with applications,"zachmanoglou, e.c",consulta_koha
fundamentos teórico-prácticos de nutrición y dietética,"martínez, j. alfredo",consulta_koha
fisiología humana,"fernández-tresguerres, jesús ángel",consulta_koha
foundations of time-frequency analysis,"gröchenig, karlheinz",consulta_koha
circuitos electrónicos,"schilling, donald l",consulta_koha
numerical optimization,"bonnans, j.fréderic",consulta_koha
química orgánica,"morrison, robert thornton",consulta_koha
mecánica de fluídos,"williams, j",consulta_koha
responsabilidad civil de los médicos,"lorenzetti, ricardo luis",consulta_koha
la empresa médica,"lorenzetti, ricardo luis",consulta_koha
responsabilidad de los profesionales,"mosset iturraspe, jorge",consulta_koha
el derecho de autor en la argentina,"villalba, carlos a",consulta_koha
fórmulas y tablas de matemática aplicada,"spiegel, murray r",consulta_koha
computational methods transport phenomena,"schiesser, w.e",consulta_koha
the physiological basis of behaviour,"silber, kevin",consulta_koha
partial differential equations for scientists and engineers,"farlow, stanley j",consulta_koha
learning and physiological regulation,"dworkin, barry r",consulta_koha
reingeniería,"parro, nereo roberto",consulta_koha
bioestadística médica,"dawson, beth",consulta_koha
intelligent signal processing,"haykin, simon",consulta_koha
introduction to continuum mechanics,"lai, w.michael",consulta_koha
"microprocesadores y microcontroladores 8085, mcs-51 y st6","angulo usategui, josé maría",consulta_koha
microcontroladores de 4 y 8 bits,"tavernier, christian",consulta_koha
numerical optimization,"nocedal, jorge",consulta_koha
adquisición y distribución de señales,"pallás areny, ramón",consulta_koha
autonomic nerves,"wilson-pauwels, linda",consulta_koha
iso 9000 y la base documental,"palom rico, santiago",consulta_koha
programación con c++ builder 5,"charte ojeda, francisco",consulta_koha
manual de laboratorio de fisiología,"fernández garza, nancy e",consulta_koha
circuitos electrónicos,"malik, norberto r",consulta_koha
electrónica,"hambley, allan r",consulta_koha
diseño y administración de bases de datos,"hansen, gary w",consulta_koha
identification of a multiaxial failure criterion for human trabecular bone,"rincón kholi, liliana",consulta_koha
turbo pascal 60 a su alcance,"joyanes aguilar, luis",consulta_koha
lo esencial de la tecnología anticonceptiva,"hatcher, robert a",consulta_koha
probabilidad y estadística para ingeniería y ciencias,"velasco sotomayor, gabriel",consulta_koha
más allá del pensamiento lógico-formal,"corral iñigo, antonio",consulta_koha
ecuaciones diferenciales,"edwards, c. henry",consulta_koha
el comité nacional de evaluación en francia,"gutiérrez, ofelia angeles",consulta_koha
evaluación y financiamiento de la educación superior en américa latina,"brunner r., josé joaquín",consulta_koha
evaluación,"pérez rocha, manuel",consulta_koha
modelos para valorar la calidad de la educación en europa,"neave, martine",consulta_koha
investigación educativa en universidades y colegios del reino unido,"bossey, michael",consulta_koha
educación superior,"nieto caraveo, luz maría",consulta_koha
vivir con mitos,"terenzini, patrick t",consulta_koha
curso de termodinámica,"facorro ruiz, lorenzo a",consulta_koha
problemas de termodinámica técnica,"garcía, carlos a",consulta_koha
variable compleja,"spiegel, murray r",consulta_koha
european telemedicine glossary,"beolchi, luciano",consulta_koha
introduction to programming in java,"patterson hume, j.n",consulta_koha
ergonomía 3,"mondelo, pedro",consulta_koha
ergonomía 4,"mondelo, pedro r",consulta_koha
mecánica para ingeniería,"bedford, anthony",consulta_koha
ecuaciones diferenciales,"blanchard, paul",consulta_koha
cálculo multivariable,"stewart, james",consulta_koha
medicina nuclear,"carrió, ignasi",consulta_koha
occupational biomechanics,"chaffin, don b",consulta_koha
geometría descriptiva,"di lorenzo, eduardo o",consulta_koha
fisiología humana de houssay,"cingolani, horacio e",consulta_koha
principios fundamentales de electrónica,"alcalde san miguel, pablo",consulta_koha
bases biológicas y fisiológicas del movimiento humano,"guillén del castillo, manuel",consulta_koha
la salud pública,"malagón-londoño, gustavo",consulta_koha
garantía de calidad en salud,"malagón-londoño, gustavo",consulta_koha
promoción de la salud,"restrepo, helena e",consulta_koha
dispositivos lógicos programables,"mandado, enrique",consulta_koha
mecánica de materiales,"craig, roy r",consulta_koha
elementos de máquinas,"hamrock, bernard j",consulta_koha
manual de construcción de edificios,"chudley, roy",consulta_koha
radiaciones ionizantes,"ortega aramburu, xavier",consulta_koha
señales y sistemas,"haykin, simon",consulta_koha
design details for health,"leibrock, cynthia a",consulta_koha
fundamentos de anatomía,"moore, keith l",consulta_koha
hacia los vectores,"di paolo, josé",consulta_koha
como programar en c++,"deitel, harvey m",consulta_koha
medicina nuclear,"doménech-torné, f.m",consulta_koha
nuclear medicine technology,"shackett, pete",consulta_koha
biotratamiento de residuos tóxicos y peligrosos,"levin, morris a",consulta_koha
introducción a los mecanismos,"carrizosa segura, león gerardo",consulta_koha
seguridad e higiene del trabajo,"cortés díaz, josé maría",consulta_koha
hospitales de seguridad social,"yañez, enrique",consulta_koha
orientación para el estudio y el trabajo,"ahumada, graciela del valle",consulta_koha
orientación para el estudio y el trabajo,"baudinio, silvina",consulta_koha
interdisciplinariedad y epistemología en orden a un proyecto pedagógico,"candiotti de de zan, maría elena",consulta_koha
señales y sistemas,"soliman, samir s",consulta_koha
anatomía del cuerpo humano,"casiraghi, juan carlos",consulta_koha
understanding the human machine,"valentinuzzi, max e",consulta_koha
biología celular y molecular,"de robertis, eduardo m. f",consulta_koha
biología celular y molecular,"jiménez garcía, luis felipe",consulta_koha
cómo programar en c++ y java,"deitel, harvey m",consulta_koha
fisiología respiratoria,"west, john b",consulta_koha
inmunología,"roitt, iván m",consulta_koha
best & taylor bases fisiológicas de la práctica médica,"dvorkin, mario a",consulta_koha
biología celular y molecular,"lodish, harvey",consulta_koha
ingeniería de control moderna,"ogata, katsuhiko",consulta_koha
física i,"serway, raymond a",consulta_koha
análisis y diseño orientado a objetos con aplicaciones,"booch, grady",consulta_koha
diseño en ingeniería mecánica,"shigley, joseph edward",consulta_koha
mecánica de materiales,"beer, ferdinand p",consulta_koha
ingeniería de sistemas expertos,"garcía martínez, ramón",consulta_koha
física general,"bueche, frederick j",consulta_koha
epidemiología clínica,"ruiz morales, alvaro",consulta_koha
dibujo técnico ii,"etchebarne, roberto esteban",consulta_koha
el valor de la vida humana el valor de la vida humana en el derecho del trabajo,"mosset iturraspe, jorge",consulta_koha
economía y salud,"lembo, norberto a",consulta_koha
medicina preventiva y salud pública,"canela soler, jaume",consulta_koha
introducción al derecho privado,"pinese, graciela gloria",consulta_koha
régimen jurídico de los residuos en argentina,"zeballos de sisto, maría cristina",consulta_koha
salud para los argentinos,"gonzález garcía, ginés",consulta_koha
epistemología de la salud,"samaja, juan",consulta_koha
las dimensiones humanas en los espacios interiores,"panero, julius",consulta_koha
inteligencia artificial,"russell, stuart",consulta_koha
autocad 2005 avanzado,"lópez fernández, javier",consulta_koha
langman embriología médica,"sadler, t.w",consulta_koha
química general,"petrucci, ralph h",consulta_koha
cálculo de una variable,"stewart, james",consulta_koha
economía y salud,"gisbert i gelonch, ramon",consulta_koha
casos prácticos y problemas de fisiología,"ortiz blasco, juan miguel",consulta_koha
the measure of man and woman,"tilley, alvin r",consulta_koha
actualizaciones en didáctica de las ciencias naturales y las matemáticas,"adúriz-bravo, agustín",consulta_koha
shaum's outline of theory and problems of human anatomy and physiology,"van de graaff, kent m",consulta_koha
neuroprosthetics,"horch, kenneth w",consulta_koha
introduction to modern physics,"richtmyer, f.k",consulta_koha
automatización y control prácticas de laboratorio,"dorantes gonzález, dante jorge",consulta_koha
cuestiones y ejercicios de química orgánica,"quiñoa cabana, emilio",consulta_koha
introducción a las señales y los sistemas discretos,"milone, diego humberto",consulta_koha
instalaciones eléctricas,"sobrevila, marcelo antonio",consulta_koha
preparación y evaluación de proyectos,"sapag chaín, nassir",consulta_koha
ergonomía cognitiva,"cañas, josé j",consulta_koha
ejercicios de dibujo técnico,"cobos gutiérrez, carlos",consulta_koha
manual de gerenciamiento en empresas de salud,"daccordi, horacio a",consulta_koha
física cuántica,"eisberg, robert",consulta_koha
ciencia e ingeniería de los materiales,"askeland, donald r",consulta_koha
ingeniería ambiental,"kiely, gerard",consulta_koha
fórmulas y tablas de matemática aplicada,"spiegel, murray r",consulta_koha
química orgánica,"carey, francis a",consulta_koha
autocad 20042005 avanzado,"lópez fernández, javier",consulta_koha
ecuaciones diferenciales con problemas de valores en la frontera,"zill, dennis g",consulta_koha
cálculo,"thomas, george b., jr",consulta_koha
cálculo aplicado,"hoffmann, laurence d",consulta_koha
redes de computadores e internet,"halsall, fred",consulta_koha
the biomedical engineering handbook medical devices and systems,"bronzino, joseph d",consulta_koha
the biomedical engineering handbook tissue engineering and artificial organs,"bronzino, joseph d",consulta_koha
the biomedical engineering handbook biomedical engineering fundamentals,"bronzino, joseph d",consulta_koha
circuitos integrados cmos,"bacco, beatriz",consulta_koha
matemáticas avanzadas para ingeniería,"james, glyn",consulta_koha
algebra lineal y sus aplicaciones,"lay, david c",consulta_koha
algebra lineal  una introducción moderna,"poole, david",consulta_koha
"tads, estructura de datos y resolución de problemas con c++","nyhoff, larry r",consulta_koha
programación orientada a objetos con c++,"balagurusamy, e",consulta_koha
bioinformática,"lahoz-beltrá, rafael",consulta_koha
anuario del presupuesto 2006,"larrazábal, hugo rómulo",consulta_koha
¿qué es un transgénico?,"lópez guerrero, josé antonio",consulta_koha
low-noise electronic system design,"motchenbacher, c.d",consulta_koha
"bioseguridad, bioingenieria y residuos de establecimientos de salud","favant, josé luis",consulta_koha
robótica,"craig, john j",consulta_koha
conceptos de genética,"klug, william s",consulta_koha
osciloscopios,"amalfa, salvador",consulta_koha
resistencia de materiales,"pytel, andrew",consulta_koha
física,"resnick, robert",consulta_koha
anatomía,"moore, keith l",consulta_koha
un enfoque analítico del mantenimiento industrial,"dounce villanueva, enrique",consulta_koha
instalaciones de aire acondicionado y calefacción,"quadri, néstor pedro",consulta_koha
introducción a la nanotecnología,"poole, charles p",consulta_koha
curtis biología,"curtis, helena",consulta_koha
mecánica de fluídos problemas resueltos,"lópez-herrera sánchez, josé m",consulta_koha
biomateriales,"duffó, gustavo s",consulta_koha
physioex® 60 para fisiología humana,"stabler, timothy",consulta_koha
circuitos eléctricos y electrónicos,"edminister, joseph a",consulta_koha
física,"wilson, jerry d",consulta_koha
algebra lineal,"grossman s., stanley i",consulta_koha
cálculo,"smith, robert t",consulta_koha
química inorgánica básica,"cotton, f. albert",consulta_koha
labview,"lajara vizcaíno, josé rafael",consulta_koha
problemas de física,"burbano de ercilla, santiago",consulta_koha
mediciones mecánicas,"figliola, richard s",consulta_koha
ingeniería electromagnética,"trainotti, valentino",consulta_koha
genética molecular humana,"sudbery, peter",consulta_koha
robots y sistemas sensoriales,"torres, fernando",consulta_koha
amplificadores operacionales y circuitos integrados lineales,"fiore, james m",consulta_koha
fundamentos de lógica digital con diseño vhdl,"brown, stephen",consulta_koha
ciencia de los materiales,"gonzález-viñas, wenceslao",consulta_koha
laboratorio de ergonomía,"chiner dasí, mercedes",consulta_koha
matemáticas avanzadas para ingeniería,"o'neil, peter v",consulta_koha
economía,"mochón morcillo, francisco",consulta_koha
the essential guide to user interface design,"galitz, wilbert o",consulta_koha
fundamentos de sistemas de bases de datos,"elmasri, ramez",consulta_koha
sistemas digitales y electrónica digital,"garza garza, juan ángel",consulta_koha
dibujo industrial,"félez, jesús",consulta_koha
enciclopedia universal de transistores,"macchelli, andrés d",consulta_koha
la experiencia starbucks,"michelli, joseph a",consulta_koha
controladores lógicos,"álvarez pulido, manuel",consulta_koha
bioquímica,"voet, donald",consulta_koha
