titulo,autor,origen
análisis epistemológico de técnica y tecnología,cristian d chamorro rodriguez,bidi
fundamentos de bioquímica,carme bañó aracil,bidi
asimetrías de género en la universitat de valència  asimetries de gènere a la universitat de valència,fátima perelló tomás,bidi
pedagogías del diálogo,césar andrés falla sánchez,bidi
universidad hoy,maximiliano prada dussán,bidi
un mapa del giro metodológico,óscar javier linares londoño,bidi
resistencias pedagógicas,yennifer paola villa rojas,bidi
polifonías de la educación comunitaria y popular,pilar cuevas marín,bidi
"ser madre, joven y mujer",paola andrea roa garcía,bidi
los filósofos y la educación formación didáctica y filosofía de la educación,diana melisa paredes oviedo,bidi
el estilo de enseñanza,ángela camargo uribe,bidi
metaforas del desempeño,"cravino, luis maría",bidi
bioquímica humana,jose maría macarulla,bidi
mecanismos de reacciones orgánicas,ronald breslow,bidi
química comprensible enlaces químicos,m. e. kenney,bidi
química comprensible cantidades químicas,m. e. kenney,bidi
fisica preuniversitaria,paul a. tipler,bidi
física preuniversitaria,paul a. tipler,bidi
física estadística,b.p.c. (berkekey physics course),bidi
introducción a la teoría analítica de números,tom m. apostol,bidi
genética,j. b. jenkins,bidi
problemas de química,i.s. butler,bidi
biomoléculas,jose maría macarulla,bidi
química inorgánica descriptiva,eugene g. rochow,bidi
problemas de química - sienko,michell j. sienko,bidi
química de los compuestos  de coordinación,fred basolo,bidi
econometría modelos econométricos y series temporales tomo 2,josé maría caridad y ocerin,bidi
física,joseph w. kane,bidi
principios de genética,robert tamarin,bidi
econometría modelos econométricos y series temporales tomo 1,josé maría caridad y ocerin,bidi
métodos ópticos de análisis,e. d. olsen,bidi
ecuaciones diferenciales en derivadas parciales,hans f. weinberger,bidi
matemática discreta,valentín gregori,bidi
ingeniería de las reacciones químicas,octave levenspiel,bidi
mecanismos de reacción en química orgánica,peter sykes,bidi
química orgánica tomo 1,seyhan ege,bidi
bioquímica con aplicaciones clínicas,thomas m devlin,bidi
bioquímica fundamentos para medicina y ciencias de la vida,werner müller-esterl,bidi
introducción a la física cuántica,anthony philip french,bidi
introducción a la física del estado sólido,charles kittel,bidi
el método de los elementos finitos,olgierd cecil zienkiewicz,bidi
curso de variable compleja,norman levinson,bidi
análisis funcional,walter rudin,bidi
sistemas de bases de datos,paul beynon-davies,bidi
sistemas de información,paul beynon-davies,bidi
precálculo,ron larson,bidi
química orgánica tomo 2,seyhan ege,bidi
calculus i,tom m. apostol,bidi
calculus una y varias variables,saturnino l. salas,bidi
calculus una y varias variables,saturnino l. salas,bidi
estadística para investigadores,g. e. box,bidi
ecuaciones diferenciales una introducción moderna,henry ricardo,bidi
matemáticas para las ciencias aplicadas,erich steiner,bidi
calculus,michael spivak,bidi
calculus ii,tom m. apostol,bidi
bioquímica de los procesos metabólicos,virginia melo,bidi
biotecnología para principiantes,reinhard renneberg,bidi
nomenclatura de las sustancias químicas,w. r. peterson,bidi
investigación educativa,ramiro rodríguez revilla,bidi
la universidad productora de productores,jorge eliécer martínez posada,bidi
análisis de datos experimentales en ingeniería,álvaro mauricio bustamante lozano,bidi
educar con maestría,fernando vásquez rodríguez,bidi
modelos pedagógicos y formación docente,rodolfo alberto lópez díaz,bidi
experiencias docentes en la universidad,rosa maría cifuentes gil,bidi
la tutoría de la investigación,fernando vásquez rodríguez,bidi
la educación y el sujeto político,pedro félix novoa castillo,bidi
jóvenes universitarios y ciudadanía corresponsable,adriana otálora-buitrago,bidi
estrategias para la enseñanza y el aprendizaje en la educación superior,paulo emilio oviedo,bidi
pasos hacia una metodología del diseño,blanca lirwin,bidi
"enseñar, proyectar, investigar",mariana fiorito,bidi
acerca de la enseñanza del diseño,maría del carmen frigerio,bidi
la enseñanza de lo proyectual,frigerio,bidi
la enseñanza de las disciplinas proyectuales,cecilia mazzeo,bidi
rescatando tecnologías,enrique ortecho,bidi
enseñanza sin dogma,juan molina y vedia,bidi
enseñanza y pensamiento,ignacio vicens y hualde,bidi
enseñando a mirar,eduardo juan sprovieri,bidi
manual de practicas de laboratorio de microbiología,jorge luna fontalvo,bidi
curso práctico de química general,"manuel, taborda martínez",bidi
la interculturalidad desde la perspectiva de la inclusión socioeducativa,"iván manuel, sánchez fontalvo",bidi
guía práctica para la presentación de informes de investigación y artículos científicos edición 2,"carmelina, paba",bidi
cálculo integral,wilson velásquez bastidas,bidi
electrocardiografía clínica,guillermo trout guardiola,bidi
¡viva la evolución humana! material educativo para estudiantes universitarios,claudia mercedes rojas-sepúlveda,bidi
la utopía de la formación emocional de las organizaciones educativas,olga cleosilda chica palma,bidi
decolonialidad de la educación,"alexander, ortiz ocaña",bidi
guía de decisión en urgencias medicina del adulto,john carlos pedrozo-pupo,bidi
educación y administración en un mundo globalizado,jairo sánchez quintero,bidi
"educación, cultura y sociedad una mirada desde la producción científica",gerardo luís angulo cuentas,bidi
ambiente y sostenibilidad una mirada desde la producción científica,gerardo luís angulo cuentas,bidi
innovación universitaria y creatividad para la mejora sostenible de ecologías emocionales de aprendizaje,mariana daniela gonzález zamar,bidi
innovaciones metodológicas en los procesos de enseñanza-aprendizaje del siglo xxi,arturo fuentes cabrera,bidi
innovación universitaria en ecologías de aprendizaje,antonio luque de la rosa,bidi
innovación docente en nuevas alfabetizaciones,cristóbal torres fernández,bidi
procesos de enseñanza-aprendizaje innovadores mediados por tecnología,francisco david guillén gámez,bidi
educar y formar a la generación z experiencias derivadas de la investigación,juan manuel trujillo torres,bidi
retos formativos en la educación derivados de la covid-19,tomás sola martínez,bidi
dualidad educativa en momentos de pandemia entre la presencialidad y la virtualidad,gerardo gómez garcía,bidi
coeducación y masculinidades hacia la construcción de sociedades cívicas y democráticas,antonia garcía luque,bidi
el modelo flipped classroom en la universidad,ana maría ortiz colón,bidi
el papel del pedagogo en el siglo xxi,miguel maría reyes rebollo,bidi
innovación pedagógica universitaria reflexiones y estrategias,mariano reyes tejedor,bidi
orientaciones metodológicas para el desarrollo del pensamiento crítico,miguel ángel jiménez rodríguez,bidi
educación en grupos vulnerables,nieves gómez lópez,bidi
currículum alfamed de formación de profesores en educación mediática,ignacio aguaded,bidi
educación inclusiva,ester caparrós martín,bidi
ecofeminismo,dolores limón domínguez,bidi
investigación e innovación en educación social,juan agustín morón marchena,bidi
innovación e investigación con tecnología educativa,julio ruiz palmero,bidi
innovación universitaria reformulaciones en la nueva educación,eloy lópez meneses,bidi
las tecnologías de la información y la comunicación en la praxis universitaria,eloy lópez-meneses,bidi
el uso de las narrativas en la enseñanza universitaria,pablo cortés gonzález,bidi
innovación e investigación en la sociedad digital,carlos hervás gómez,bidi
innovación docente en la universidad y realidades emergentes,m. m. fernández martínez,bidi
innovación e inclusión educativa en la era del big data,juan josé leiva olivencia,bidi
