title,author,isbn,origen
Columna vertebral,Gastón Camino Willhuber;Gonzalo Kido; Matías Petracchi;Marcelo Gruenberg;Carlos Sosa,9789878349282,bidi
Cáncer colorrectal 3ª edición,"Carlos A. Vaccaro, Nadia C. Peralta",9789878349299,bidi
Primer diccionario de medicina ilustrado,Rosa Estopà,9789878349305,bidi
Del nacimiento a los primeros pasos,"Ernesto Lupo, Pablo Mohr, Valeria Mülli, Diana Rodriguez",9789878349183,bidi
Obesidad: cómo cambiar la historia,"Irene Ventriglia, Elena Chimirri, Tamara Lareu, Diego Fernández",9789878349336,bidi
Cirugía es mucho más que operar,Juan Pekolj,9789878349350,bidi
"Los cuidados de la piel, el pelo y las uñas en el paciente con cáncer",María del Carmen González Ramos,9789878349367,bidi
Enfermedad renal crónica,Carlos G. Musso,9789878349381,bidi
Obesidad: otra mirada,"Irene Ventriglia, Elena Chimirri, Diego Fernández, Tamara Lareu",9789878349404,bidi
Pequeños gajos del oficio médico,Coti Funes,9789878349411,bidi
Clínica imaginaria 2a edición,Esteban Rubinstein,9789878349459,bidi
El clown en el hospital: una sonrisa el fin de semana,Mariana Ramos;Ignacio Usandivaras,9789878349466,bidi
Heidegger y la medicina,Esteban Rubinstein,9789878349527,bidi
Las implicancias afectivas de la prematurez,Gabriela A. Pose,9789878349541,bidi
Cine expandido,Gene Youngblood,9789874151711,bidi
"Entre la academia y la crítica: la construcción discursiva y disciplinar de la historia del arte, Argentina siglo XX","Sandra Szir, María Amalia García, editoras",9789874151728,bidi
"Alegato Juicio Esma III: 30, 31 de marzo y 4 de abril de 2016: querella: justicia ya",Colectivo Justicia Ya,9789874151735,bidi
Los mil pequeños sexos: intervenciones críticas sobre políticas de género y sexualidades,"Mariano López Seoane, compilador",9789874151742,bidi
Merecer la ciudad: los pobres y el derecho al espacio urbano,Oscar Oszlak,9789874151803,bidi
Episodios críticos de la modernidad latinoamericana,Valentín Díaz,9789874151810,bidi
Saberes subalternos en América Latina,"Leonel Cherri, Valentín Díaz, Mariano López Seoane, editores",9789874151896,bidi
América Latina Global. Estudios generales sobre paradiplomacia,"Mariano Alvarez, Mariana Luna Pont, Nahuel Oddone,Compiladores",9789874151988,bidi
"Migración, ambiente y cambio climático. Estudios de caso en Argentina",Roberto Salvador Aruj,9789878359182,bidi
Hogar dulce hogar,"Florencia Battiti, Fernando Farina, Vilma Paura",9789878359267,bidi
"Incomodar la mirada. Museos, artes visuales y memoria",M. Guillermina Fressoli,9789878359298,bidi
Fundamentos de nutrición normal,Laura Beatriz López y Marta María Suárez,9789500210775,bidi
Alimentación y deporte. Guía práctica,Marcia Onzari,9789500210782,bidi
Fundamentos de nutrición en el deporte,Marcia Onzari,9789500210799,bidi
Anatomía odontológica funcional y aplicada,Mario Eduardo Figún y Ricardo Rodolfo Garino,9789500210904,bidi
Rehabilitación cognitiva. De la teoría a la práctica profesional,"Teresa Torralva, Catalina Raimondi, María Roca",9789500210966,bidi
Técnica dietoterápica,"Elisabet Navarro, Elsa Longo y Andrea F. González",9789500211062,bidi
Aspectos crÍticos de las ciencias sociales,Rodolfo Gaeta,9789502318004,bidi
Nunca más,Comisión Nacional por la Desaparición de Personas (CONADEP),9789502318158,bidi
Derechos humanos y garantías,Eduardo Ángel Russo,9789502318189,bidi
Las fuentes del derecho internacional en la era de la globalización,Mónica Pinto,9789502318400,bidi
Los cambios en la cultura académica de la universidad pública,Judith Naidorf,9789502318417,bidi
"Ciencia, tecnología y universidad en Iberoamérica","Mario Albornoz, Cerezo López  y José Antonio",9789502318936,bidi
La estructura académica Argentina,Guillermo Ruiz,9789502319858,bidi
Enunciación,María Isabel Filinich,9789502320595,bidi
Problemas actuales en derechos humanos,Sebastián Rey,9789502320731,bidi
Aspectos críticos de las ciencias sociales,"Rodolfo Gaeta, Nélida Gentile y Susana Lucero",9789876783460,bidi
Descubrimiento y creatividad en la ciencia,Gregorio Klimovsky y Féliz Gustavo Schuster (compiladores),9789876783491,bidi
Políticas lingüísticas e inmigración. El caso argentino,Ángela Lucía Di Tullio,9789876783804,bidi
Comunicar y educar en el mundo que viene,Roberto Aparici,9788417341558,bidi
Contenidos docentes de vanguardia,AA. VV.,9788417690090,bidi
Nueva enseñanza superior a partir de las TIC,AA. VV.,9788417690175,bidi
Cultura digital y las nuevas políticas educativas,AA. VV.,9788417690212,bidi
Los contenidos de humanidades como lectura multidisciplinar,AA. VV.,9788417690236,bidi
"Nuevas aportaciones sociológicas: género, psicología y sociedad",AA. VV.,9788417690274,bidi
El aprendizaje basado en problemas,Genoveva Sastre,9788497844796,bidi
Estrategias de comunicación en redes sociales,AA. VV.,9788497846219,bidi
Trucos del oficio de investigador,"Guinea-Martin, Daniel",9788497847278,bidi
7 retos para la educación social,Anna Forés,9788497847353,bidi
Contenidos universitarios innovadores,AA. VV.,9788417690298,bidi
"Los nuevos retos en Ciencias sociales, Artes y Humanidades",AA. VV.,9788417690335,bidi
Investigando en contenidos de vanguardia,AA. VV.,9788417690359,bidi
La investigación actual y sus retos multidisciplinares,AA. VV.,9788417690373,bidi
El arte de la negociación,"R. Luchi, A. Zamprile, N. Luzuriaga",9789871826254,bidi
El Salto del Dueño,Paula Molinari,9789871826346,bidi
El lado oscuro de la Econometria,"Sosa Escudero, Walter ",9789873887208,bidi
El poder de la Resiliencia,"Sheffi, Yossi ",9789873887321,bidi
El poder de los Pares,"Shapiro, León; Bottary, Leo",9789873887444,bidi
¿Cómo hacemos?,"Hatum, Andrés ",9789873887642,bidi
Equilibrio Verde,"Sheffi, Yossi ",9789873887789,bidi
Agilidad en 4 Estaciones,"Jajamovich, Melina",9789873887963,bidi
Feedback consciente,Gabriel Paradiso,9789873887987,bidi
Crisis cambio,Jonatan Loidi,9789878387130,bidi
La co-creacion,"Ramaswamy,Venkat; Gouillart, Francis",9789871826223,bidi
El futuro del talento,Andrés Hatum,9789871826353,bidi
Futuro Imperfecto,"Alejandro Marchionna Faré, Eugenio Marchioni",9789871826636,bidi
Más allá de la economía verde,Ricardo Abramovay,9789871826643,bidi
Yrrupción,Andrés Hatum,9789871826780,bidi
Los 7 mitos Capitales,"Mascó, Alejandro",9789873887093,bidi
Las Finanzas en la Empresa,"Fraile, Guillermo; Preve Lorenzo; Sarria Allende, Virginia",9789873887277,bidi
Liderazgo Intuitivo,"Rienzi,Lorena; De la Morena, Alexia",9789873887475,bidi
Viví tu sueño,"Barragué, Belu",9789873887864,bidi
La potencia del talento no mirado,"Carlos March, Andrea Vulcano",9789878387055,bidi
Innovacion por dentro,Alfredo Calvelo,9789878387116,bidi
Género y sexualidad en la Policía Bonaerense,Sabrina Calandrón,9789874027368,bidi
"Homosexualidad, familia y reivindicaciones. De la liberación sexual al matrimonio igualitario",Guido Vespucci,9789874027467,bidi
La sociología tal como se escribe. De Bourdieu a Latour,Jean-Louis Fabiani,9789874027801,bidi
La solidaridad en tiempos del agronegocio,María Soledad Córdoba,9789878326207,bidi
"Feminismo, género y transgénero: Breve historia desde el siglo XIX hasta nuestros días",Vanesa Vazquez Laba,9789878326245,bidi
La herencia Beauvoir.,El Colegio de México,9786074623598,bidi
Y si hablas de…sde tu ser hombre?,Juan Guillermo Figueroa,9786074627008,bidi
Formas reales de la dominación del estado,Alejandro Agudo Sanchíz,9786074627565,bidi
